Accomack, Daniel Gade, Republican, 52.72
Albemarle, Mark Warner, Democrat, 67.31
Alexandria, Mark Warner, Democrat, 79.37
Alleghany, Daniel Gade, Republican, 64.53
Amelia, Daniel Gade, Republican, 67.23
Amherst, Daniel Gade, Republican, 62.85
Appomattox, Daniel Gade, Republican, 69.63
Arlington, Mark Warner, Democrat, 79.37
Augusta, Daniel Gade, Republican, 70.86
Bath, Daniel Gade, Republican, 69.35
Bedford, Daniel Gade, Republican, 71.21
Bland, Daniel Gade, Republican, 78.29
Botetourt, Daniel Gade, Republican, 68.49
Bristol, Daniel Gade, Republican, 63.63
Brunswick, Mark Warner, Democrat, 59.68
Buchanan, Daniel Gade, Republican, 73.97
Buckingham, Daniel Gade, Republican, 54.55
Buena Vista, Daniel Gade, Republican, 62.76
Campbell, Daniel Gade, Republican, 68.6
Caroline, Mark Warner, Democrat, 50.23
Carroll, Daniel Gade, Republican, 76.31
Charles City, Mark Warner, Democrat, 61.29
Charlotte, Daniel Gade, Republican, 59
Charlottesville, Mark Warner, Democrat, 85.76
Chesapeake, Mark Warner, Democrat, 53.9
Chesterfield, Mark Warner, Democrat, 53.67
Clarke, Daniel Gade, Republican, 56.22
Colonial Heights, Daniel Gade, Republican, 64.74
Covington, Daniel Gade, Republican, 54.46
Craig, Daniel Gade, Republican, 75.76
Culpeper, Daniel Gade, Republican, 58.33
Cumberland, Daniel Gade, Republican, 55.95
Danville, Mark Warner, Democrat, 65.16
Dickenson, Daniel Gade, Republican, 71.4
Dinwiddie, Daniel Gade, Republican, 56.58
Emporia, Mark Warner, Democrat, 69.38
Essex, Mark Warner, Democrat, 52.25
Fairfax City, Mark Warner, Democrat, 68.88
Fairfax County, Mark Warner, Democrat, 69.89
Falls Church, Mark Warner, Democrat, 79.95
Fauquier, Daniel Gade, Republican, 58.75
Floyd, Daniel Gade, Republican, 63.34
Fluvanna, Daniel Gade, Republican, 50.13
Franklin City, Mark Warner, Democrat, 64.35
Franklin, Daniel Gade, Republican, 66.26
Frederick, Daniel Gade, Republican, 62.45
Fredericksburg, Mark Warner, Democrat, 67.48
Galax, Daniel Gade, Republican, 64.6
Giles, Daniel Gade, Republican, 69.87
Gloucester, Daniel Gade, Republican, 65.96
Goochland, Daniel Gade, Republican, 59.65
Grayson, Daniel Gade, Republican, 75.36
Greene, Daniel Gade, Republican, 59.49
Greensville, Mark Warner, Democrat, 59.8
Halifax, Daniel Gade, Republican, 54.31
Hampton, Mark Warner, Democrat, 72.3
Hanover, Daniel Gade, Republican, 62.86
Harrisonburg, Mark Warner, Democrat, 66.3
Henrico, Mark Warner, Democrat, 65.09
Henry, Daniel Gade, Republican, 58.58
Highland, Daniel Gade, Republican, 66.89
Hopewell, Mark Warner, Democrat, 59.64
Isle of Wight, Daniel Gade, Republican, 57.91
James City, Mark Warner, Democrat, 52.07
King and Queen, Daniel Gade, Republican, 58.07
King George, Daniel Gade, Republican, 59.22
King William, Daniel Gade, Republican, 67.2
Lancaster, Daniel Gade, Republican, 51.32
Lee, Daniel Gade, Republican, 77.16
Lexington, Mark Warner, Democrat, 67.36
Loudoun, Mark Warner, Democrat, 61.8
Louisa, Daniel Gade, Republican, 59.92
Lunenburg, Daniel Gade, Republican, 57.01
Lynchburg, Mark Warner, Democrat, 51.85
Madison, Daniel Gade, Republican, 63.75
Manassas, Mark Warner, Democrat, 62.82
Manassas Park, Mark Warner, Democrat, 67.86
Martinsville, Mark Warner, Democrat, 67.72
Mathews, Daniel Gade, Republican, 66.44
Mecklenburg, Daniel Gade, Republican, 55.83
Middlesex, Daniel Gade, Republican, 60.53
Montgomery, Mark Warner, Democrat, 55.09
Nelson, Mark Warner, Democrat, 50.75
New Kent, Daniel Gade, Republican, 66.44
Newport News, Mark Warner, Democrat, 67.61
Norfolk, Mark Warner, Democrat, 74.01
Northampton, Mark Warner, Democrat, 58.16
Northumberland, Daniel Gade, Republican, 55.95
Norton, Daniel Gade, Republican, 62.41
Nottoway, Daniel Gade, Republican, 55.17
Orange, Daniel Gade, Republican, 59.14
Page, Daniel Gade, Republican, 72.31
Patrick, Daniel Gade, Republican, 74.74
Petersburg, Mark Warner, Democrat, 89.09
Pittsylvania, Daniel Gade, Republican, 65.6
Poquoson, Daniel Gade, Republican, 71.6
Portsmouth, Mark Warner, Democrat, 71.97
Powhatan, Daniel Gade, Republican, 71.14
Prince Edward, Mark Warner, Democrat, 54.68
Prince George, Daniel Gade, Republican, 57.72
Prince William, Mark Warner, Democrat, 64.24
Pulaski, Daniel Gade, Republican, 65.29
Radford, Mark Warner, Democrat, 56.82
Rappahannock, Daniel Gade, Republican, 55.15
Richmond City, Mark Warner, Democrat, 83.27
Richmond County, Daniel Gade, Republican, 58.14
Roanoke City, Mark Warner, Democrat, 66.08
Roanoke County, Daniel Gade, Republican, 57.54
Rockbridge, Daniel Gade, Republican, 62.22
Rockingham, Daniel Gade, Republican, 68.33
Russell, Daniel Gade, Republican, 75.11
Salem, Daniel Gade, Republican, 55.9
Scott, Daniel Gade, Republican, 79.46
Shenandoah, Daniel Gade, Republican, 68.89
Smyth, Daniel Gade, Republican, 71.52
Southampton, Daniel Gade, Republican, 57.12
Spotsylvania, Daniel Gade, Republican, 52.37
Stafford, Mark Warner, Democrat, 51.97
Staunton, Mark Warner, Democrat, 56.72
Suffolk, Mark Warner, Democrat, 59.41
Surry, Mark Warner, Democrat, 55.43
Sussex, Mark Warner, Democrat, 57.62
Tazewell, Daniel Gade, Republican, 76.87
Virginia Beach, Mark Warner, Democrat, 53.91
Warren, Daniel Gade, Republican, 66.15
Washington, Daniel Gade, Republican, 72.66
Waynesboro, Daniel Gade, Republican, 50.17
Westmoreland, Daniel Gade, Republican, 50.94
Williamsburg, Mark Warner, Democrat, 70.33
Winchester, Mark Warner, Democrat, 57.58
Wise, Daniel Gade, Republican, 74.46
Wythe, Daniel Gade, Republican, 72.68
York, Daniel Gade, Republican, 53.21
