Ada, Mike Crapo, Republican, 47.46
Adams, Mike Crapo, Republican, 70.86
Bannock, Mike Crapo, Republican, 56.91
Bear Lake, Mike Crapo, Republican, 83.38
Benewah, Mike Crapo, Republican, 76.85
Bingham, Mike Crapo, Republican, 77.1
Blaine, David Roth, Democrat, 61.99
Boise, Mike Crapo, Republican, 63.19
Bonner, Mike Crapo, Republican, 64.29
Bonneville, Mike Crapo, Republican, 69.36
Boundary, Mike Crapo, Republican, 75.75
Butte, Mike Crapo, Republican, 78.85
Camas, Mike Crapo, Republican, 71.12
Canyon, Mike Crapo, Republican, 62.78
Caribou, Mike Crapo, Republican, 81.99
Cassia, Mike Crapo, Republican, 79.69
Clark, Mike Crapo, Republican, 78.16
Clearwater, Mike Crapo, Republican, 76.57
Custer, Mike Crapo, Republican, 72.03
Elmore, Mike Crapo, Republican, 66.31
Franklin, Mike Crapo, Republican, 83.34
Fremont, Mike Crapo, Republican, 80.17
Gem, Mike Crapo, Republican, 67.6
Gooding, Mike Crapo, Republican, 72.67
Idaho, Mike Crapo, Republican, 76.91
Jefferson, Mike Crapo, Republican, 81.33
Jerome, Mike Crapo, Republican, 72.07
Kootenai, Mike Crapo, Republican, 67.67
Latah, Mike Crapo, Republican, 49.95
Lemhi, Mike Crapo, Republican, 73.62
Lewis, Mike Crapo, Republican, 80.72
Lincoln, Mike Crapo, Republican, 74.43
Madison, Mike Crapo, Republican, 78.94
Minidoka, Mike Crapo, Republican, 76.89
Nez Perce, Mike Crapo, Republican, 66.83
Oneida, Mike Crapo, Republican, 83.07
Owyhee, Mike Crapo, Republican, 72.55
Payette, Mike Crapo, Republican, 72.61
Power, Mike Crapo, Republican, 72.41
Shoshone, Mike Crapo, Republican, 69.55
Teton, David Roth, Democrat, 50.68
Twin Falls, Mike Crapo, Republican, 65.23
Valley, Mike Crapo, Republican, 54.2
Washington, Mike Crapo, Republican, 74.26
