Adams, Mehmet Oz, Republican, 62.56
Allegheny, John Fetterman, Democrat, 63.42
Armstrong, Mehmet Oz, Republican, 68.89
Beaver, Mehmet Oz, Republican, 52.79
Bedford, Mehmet Oz, Republican, 80.72
Berks, Mehmet Oz, Republican, 50.39
Blair, Mehmet Oz, Republican, 68.13
Bradford, Mehmet Oz, Republican, 68.28
Bucks, John Fetterman, Democrat, 52.35
Butler, Mehmet Oz, Republican, 61.25
Cambria, Mehmet Oz, Republican, 63.62
Cameron, Mehmet Oz, Republican, 66.12
Carbon, Mehmet Oz, Republican, 59.69
Centre, John Fetterman, Democrat, 52.52
Chester, John Fetterman, Democrat, 57.2
Clarion, Mehmet Oz, Republican, 69.09
Clearfield, Mehmet Oz, Republican, 69.9
Clinton, Mehmet Oz, Republican, 62.72
Columbia, Mehmet Oz, Republican, 59.93
Crawford, Mehmet Oz, Republican, 63.55
Cumberland, Mehmet Oz, Republican, 51.47
Dauphin, John Fetterman, Democrat, 53.82
Delaware, John Fetterman, Democrat, 62.87
Elk, Mehmet Oz, Republican, 67.02
Erie, John Fetterman, Democrat, 53.35
Fayette, Mehmet Oz, Republican, 60.3
Forest, Mehmet Oz, Republican, 65.72
Franklin, Mehmet Oz, Republican, 68.72
Fulton, Mehmet Oz, Republican, 82.79
Greene, Mehmet Oz, Republican, 63.77
Huntingdon, Mehmet Oz, Republican, 71.37
Indiana, Mehmet Oz, Republican, 63.41
Jefferson, Mehmet Oz, Republican, 73.87
Juniata, Mehmet Oz, Republican, 74.68
Lackawanna, John Fetterman, Democrat, 56.77
Lancaster, Mehmet Oz, Republican, 55.58
Lawrence, Mehmet Oz, Republican, 59.47
Lebanon, Mehmet Oz, Republican, 62
Lehigh, John Fetterman, Democrat, 53.63
Luzerne, Mehmet Oz, Republican, 53.28
Lycoming, Mehmet Oz, Republican, 67.42
McKean, Mehmet Oz, Republican, 68.77
Mercer, Mehmet Oz, Republican, 59.64
Mifflin, Mehmet Oz, Republican, 73.06
Monroe, John Fetterman, Democrat, 51.51
Montgomery, John Fetterman, Democrat, 63.01
Montour, Mehmet Oz, Republican, 55.25
Northampton, John Fetterman, Democrat, 51.21
Northumberland, Mehmet Oz, Republican, 63.82
Perry, Mehmet Oz, Republican, 68.98
Philadelphia, John Fetterman, Democrat, 82.71
Pike, Mehmet Oz, Republican, 58.71
Potter, Mehmet Oz, Republican, 77.18
Schuylkill, Mehmet Oz, Republican, 63.69
Snyder, Mehmet Oz, Republican, 69.49
Somerset, Mehmet Oz, Republican, 73.67
Sullivan, Mehmet Oz, Republican, 67.08
Susquehanna, Mehmet Oz, Republican, 66.55
Tioga, Mehmet Oz, Republican, 72.08
Union, Mehmet Oz, Republican, 58.41
Venango, Mehmet Oz, Republican, 64.29
Warren, Mehmet Oz, Republican, 63.23
Washington, Mehmet Oz, Republican, 55.77
Wayne, Mehmet Oz, Republican, 63.51
Westmoreland, Mehmet Oz, Republican, 58.47
Wyoming, Mehmet Oz, Republican, 62.3
York, Mehmet Oz, Republican, 58.77
