Adams, Ron Johnson, Republican, 62.75
Ashland, Mandela Barnes, Democrat, 55.87
Barron, Ron Johnson, Republican, 64.39
Bayfield, Mandela Barnes, Democrat, 55.85
Brown, Ron Johnson, Republican, 54.64
Buffalo, Ron Johnson, Republican, 63.86
Burnett, Ron Johnson, Republican, 65.42
Calumet, Ron Johnson, Republican, 61.99
Chippewa, Ron Johnson, Republican, 61.39
Clark, Ron Johnson, Republican, 70.2
Columbia, Ron Johnson, Republican, 50.78
Crawford, Ron Johnson, Republican, 54.33
Dane, Mandela Barnes, Democrat, 77.08
Dodge, Ron Johnson, Republican, 66.89
Door, Ron Johnson, Republican, 50.14
Douglas, Mandela Barnes, Democrat, 55.02
Dunn, Ron Johnson, Republican, 57.24
Eau Claire, Mandela Barnes, Democrat, 55.44
Florence, Ron Johnson, Republican, 75.38
Fond du Lac, Ron Johnson, Republican, 65.63
Forest, Ron Johnson, Republican, 66.9
Grant, Ron Johnson, Republican, 56.68
Green, Mandela Barnes, Democrat, 52.04
Green Lake, Ron Johnson, Republican, 69.73
Iowa, Mandela Barnes, Democrat, 56.05
Iron, Ron Johnson, Republican, 63.22
Jackson, Ron Johnson, Republican, 58.84
Jefferson, Ron Johnson, Republican, 58.03
Juneau, Ron Johnson, Republican, 64.62
Kenosha, Ron Johnson, Republican, 52.17
Kewaunee, Ron Johnson, Republican, 66.8
La Crosse, Mandela Barnes, Democrat, 55.58
Lafayette, Ron Johnson, Republican, 57.55
Langlade, Ron Johnson, Republican, 68.72
Lincoln, Ron Johnson, Republican, 63.31
Manitowoc, Ron Johnson, Republican, 62.81
Marathon, Ron Johnson, Republican, 60.98
Marinette, Ron Johnson, Republican, 68.39
Marquette, Ron Johnson, Republican, 64.64
Menominee, Mandela Barnes, Democrat, 78.47
Milwaukee, Mandela Barnes, Democrat, 70
Monroe, Ron Johnson, Republican, 62.39
Oconto, Ron Johnson, Republican, 71.47
Oneida, Ron Johnson, Republican, 58.78
Outagamie, Ron Johnson, Republican, 55.76
Ozaukee, Ron Johnson, Republican, 57.77
Pepin, Ron Johnson, Republican, 64.3
Pierce, Ron Johnson, Republican, 57.18
Polk, Ron Johnson, Republican, 64.22
Portage, Mandela Barnes, Democrat, 51.19
Price, Ron Johnson, Republican, 65.05
Racine, Ron Johnson, Republican, 54.13
Richland, Ron Johnson, Republican, 54.58
Rock, Mandela Barnes, Democrat, 55.47
Rusk, Ron Johnson, Republican, 67.76
Sauk, Mandela Barnes, Democrat, 50.57
Sawyer, Ron Johnson, Republican, 57.82
Shawano, Ron Johnson, Republican, 69.31
Sheboygan, Ron Johnson, Republican, 59.88
St. Croix, Ron Johnson, Republican, 59.39
Taylor, Ron Johnson, Republican, 75.4
Trempealeau, Ron Johnson, Republican, 59.75
Vernon, Ron Johnson, Republican, 52.76
Vilas, Ron Johnson, Republican, 63.37
Walworth, Ron Johnson, Republican, 60.95
Washburn, Ron Johnson, Republican, 63.16
Washington, Ron Johnson, Republican, 70.84
Waukesha, Ron Johnson, Republican, 62.55
Waupaca, Ron Johnson, Republican, 66.86
Waushara, Ron Johnson, Republican, 68.5
Winnebago, Ron Johnson, Republican, 52.91
Wood, Ron Johnson, Republican, 60.63
